No. 77	 M_program ->  
No. 2	 identifier_list -> T_ID  
No. 3	 identifier_list -> identifier_list T_COMMA T_ID  
No. 3	 identifier_list -> identifier_list T_COMMA T_ID  
No. 2	 identifier_list -> T_ID  
No. 3	 identifier_list -> identifier_list T_COMMA T_ID  
No. 10	 standard_type -> T_INT_TYPE  
No. 8	 type -> standard_type  
No. 7	 declaration ->   identifier_list T_COLON type  
No. 2	 identifier_list -> T_ID  
No. 11	 standard_type -> T_REAL_TYPE  
No. 8	 type -> standard_type  
No. 6	 declaration -> declaration T_SEMICL identifier_list T_COLON type  
No. 4	 declarations -> T_VAR declaration T_SEMICL  
No. 32	 M_quad ->  
No. 13	 subprogram_declarations ->  
No. 32	 M_quad ->  
No. 73	 M_function ->  
No. 2	 identifier_list -> T_ID  
No. 3	 identifier_list -> identifier_list T_COMMA T_ID  
No. 11	 standard_type -> T_REAL_TYPE  
No. 8	 type -> standard_type  
No. 19	 parameter_list -> identifier_list T_COLON type  
No. 2	 identifier_list -> T_ID  
No. 3	 identifier_list -> identifier_list T_COMMA T_ID  
No. 3	 identifier_list -> identifier_list T_COMMA T_ID  
No. 10	 standard_type -> T_INT_TYPE  
No. 8	 type -> standard_type  
No. 20	 parameter_list ->  parameter_list T_SEMICL identifier_list T_COLON type  
No. 17	 arguments -> T_LPAR parameter_list T_RPAR  
No. 11	 standard_type -> T_REAL_TYPE  
No. 15	 subprogram_head -> T_FUNCTION M_function T_ID arguments T_COLON standard_type T_SEMICL  
No. 5	 declarations ->  
No. 32	 M_quad ->  
No. 55	 factor -> T_ID  
No. 53	 term -> factor  
No. 50	 exp_item -> term  
No. 69	 relop -> T_LT 
No. 71	 num -> T_INT 
No. 57	 factor -> num  
No. 53	 term -> factor  
No. 50	 exp_item -> term  
No. 41	 bool_exp_item -> exp_item relop exp_item 
No. 40	 bool_exp -> bool_exp_item 
No. 32	 M_quad ->  
No. 44	 variable -> T_ID  
No. 55	 factor -> T_ID  
No. 53	 term -> factor  
No. 50	 exp_item -> term  
No. 61	 addop -> T_ADD 
No. 71	 num -> T_INT 
No. 57	 factor -> num  
No. 53	 term -> factor  
No. 52	 exp_item -> exp_item addop term  
No. 26	 statement -> variable T_ASS exp_item 
